"transaction_amount","aux_mdr_fee","mdr_fee","gateway_fee","transaction_id","payment_method","installments_range","financial_operation_type","created_at","date","day_of_week","company_id","company_mcc","company_type","product_name","acquirer_name"
419640,0,0,-0.0,e54ff0ab72,credit_card,"7-12",refund,09:25:09,2020-09-23,3.0,d19e7f6bea6d0f3,"8299",outbound,psp,pagarme
419640,-7763,0,0.0,e54ff0ab72,credit_card,"7-12",capture,14:55:22,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,psp,acquirer_3
419640,-7763,0,0.0,e54ff0ab72,credit_card,"7-12",capture,14:55:22,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,psp,pagarme
10900,326,326,15.0,e6bd6a44ee,credit_card,a vista,capture,14:57:01,2020-09-09,3.0,"7f74ca6c8e36c8d","5651",outbound,psp,acquirer_3
10900,326,326,15.0,e6bd6a44ee,credit_card,a vista,capture,14:57:01,2020-09-09,3.0,"7f74ca6c8e36c8d","5651",outbound,psp,pagarme
36426,911,911,93.0,e788489689,credit_card,a vista,capture,14:58:55,2020-09-09,3.0,"3aeacb6ab392f83","5300",inbound,psp,pagarme
36426,911,911,93.0,e788489689,credit_card,a vista,capture,14:58:57,2020-09-09,3.0,"3aeacb6ab392f83","5300",inbound,psp,acquirer_3
17072,168,168,50.0,e815e984a5,credit_card,"2-6",capture,14:55:49,2020-09-09,3.0,"8cc03ff26c71e52","5651",inbound,psp,pagarme
17072,168,168,50.0,e815e984a5,credit_card,"2-6",capture,14:55:49,2020-09-09,3.0,"8cc03ff26c71e52","5651",inbound,psp,acquirer_1
50000,-1000,0,0.0,e882f0f2b8,credit_card,a vista,capture,14:40:53,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,pagarme
50000,-1000,0,0.0,e882f0f2b8,credit_card,a vista,capture,14:40:54,2020-09-09,3.0,c073c11c93a896b,"8398",outbound,psp,acquirer_3
